,Prediction
148,-7.624280570276676
149,-7.010136475430149
150,-4.802486810142118
151,-5.649212751931937
152,-8.849835795549804
153,-6.248545303865622
154,-4.847598738396553
155,-8.521723686232775
156,-5.550051075138381
157,-5.355864608181516
158,-6.316842930297855
159,-4.351245359824391
160,-6.649956771981098
161,-6.238988812970149
162,-5.695322965088067
163,-6.147887799197348
164,-5.247189270733288
165,-6.234375864373459
166,-6.3367038286738975
167,-5.968077309784436
168,-7.832382235037331
169,-5.359460412787787
170,-5.749455106178354
171,-6.135623947280237
172,-5.483428073212871
173,-7.702293338620901
174,-4.773423727645167
175,-5.817628009797861
176,-4.22389478043501
177,-5.385728650192097
178,-5.034486329245391
179,-5.802379426008828
180,-4.933932554855726
181,-4.845383400875199
182,-5.824677641120431
183,-5.360156908562475
184,-5.8954247107825015
185,-6.461367147410719
186,-6.271026978474119
187,-8.537753219879072
188,-9.475580129833657
189,-6.184152762771376
190,-6.634078695306423
191,-8.84436925433738
192,-6.26164836223395
193,-5.849233144610146
194,-5.753778853070188
195,-8.357442906818097
196,-5.942026152089756
197,-5.959146203700136
198,-8.399368382808131
199,-5.019238727415512
200,-5.946943524005687
201,-5.464816849508389
202,-5.490097293004437
203,-7.756745495339352
204,-5.778949730679954
205,-6.266316883147525
206,-5.396987548130422
207,-6.4757487421959254
208,-6.08714050392302
209,-5.037919526608571
210,-5.656913459632883
211,-8.356147284839933
212,-9.23632744414038
213,-5.727663713007223
214,-8.137393944249125
215,-9.086065239725949
216,-5.414028174210834
217,-5.303187589557434
218,-6.860549980106571
219,-6.477707483137591
220,-5.226823972056916
221,-5.12562965283655
222,-4.841896496613777
223,-4.857520729395016
224,-5.055515929246668
225,-5.856735130903341
226,-7.091701824508678
227,-4.40378569198714
228,-6.127744122167917
229,-5.152412400244894
230,-5.367693002624362
231,-7.377000429993332
232,-7.703613534079848
233,-6.282101786185738
234,-5.573597909247925
235,-4.997764880256244
236,-5.55847137912818
237,-5.785928410566594
238,-5.403683135571937
239,-5.937358042673573
240,-5.440586938805191
241,-5.562868089501943
242,-5.794654197831356
243,-5.1242148251385435
244,-5.259687269116159
245,-4.228894756566984
246,-5.145304646386755
247,-5.364756763290288
248,-6.955580381930023
249,-5.7991089946020855
250,-5.538798325026293
251,-5.9249244804062355
252,-5.495590240583444
253,-5.799679547152226
254,-5.2839734405256005
255,-6.404423002426959
256,-7.8500350533137215
257,-5.567936688580001
258,-6.136692998798459
259,-5.3508489223497495
260,-5.1968498739276185
261,-5.1912967288423575
262,-5.690396647981133
263,-5.034301631164435
264,-5.139185497371231
265,-5.104109001211981
266,-4.967246308497487
267,-5.581273962251455
268,-6.386253706425065
269,-5.631903670869209
270,-8.732915129605296
271,-5.666311734619261
272,-5.513295826393584
273,-6.203399112764009
274,-4.966834782380704
275,-5.456602087616
276,-5.461930136630138
277,-5.622248557134666
278,-5.1097581501754785
279,-5.968537857863939
280,-5.8926685601839655
281,-8.503246912435369
282,-6.535569994295264
283,-7.322583458276537
284,-5.105672927813128
285,-7.119118778992869
286,-4.9233246976993215
287,-5.515738484178024
288,-4.9573492839487745
289,-5.848566226755502
290,-4.602744543842908
291,-4.829408084432982
292,-4.406909260152671
293,-6.624663299299279
294,-5.5167050880755255
295,-5.977551212187081
296,-5.207516805837248
297,-6.893604451305862
298,-5.2085577773650105
299,-6.915935181135551
300,-5.371576950878594
301,-5.345735989420937
302,-5.602607611031956
303,-5.066046201970836
304,-5.758144023231033
305,-5.427252110222993
306,-5.944133989628689
307,-5.042074183774352
308,-5.083472936393499
309,-4.688492292519257
310,-6.747369933977928
311,-5.9154920486053495
312,-5.643060422425206
313,-4.862243968744497
314,-5.55244789810759
315,-7.032204373788174
316,-5.385093694890542
317,-5.109917955119822
318,-5.076845278680272
319,-5.391469446296923
320,-5.931126509238133
321,-5.615206701115504
322,-4.279995233921953
323,-5.186292226436872
324,-6.891377537334239
325,-5.225124076058397
326,-6.07827083278682
327,-5.527176612891364
328,-5.348829769272808
329,-5.473313130403922
330,-6.516137493792755
331,-6.714862896040815
332,-5.496826889874892
333,-6.147613818024618
334,-5.798346265973373
335,-8.853502410479354
336,-5.939481548690873
337,-5.2790349225602835
338,-5.559359398277878
339,-7.332619652741024
340,-5.53723162960615
341,-6.185787793949519
342,-4.779994847936319
343,-5.17996607218638
344,-4.9562107507473545
345,-6.294329087118743
346,-5.665611645832362
347,-5.246569112326959
348,-5.242813103679978
349,-5.430225346902614
350,-5.448159648647317
351,-5.520049608319144
352,-5.381044904167787
353,-5.529103621966967
354,-4.986327258736929
355,-7.226992188826604
356,-3.9672776521081485
357,-6.5571116682951995
358,-6.148068533631334
359,-5.437120005523837
360,-5.764082918799107
361,-6.935115246969085
362,-7.307882085786919
363,-6.832057890541906
364,-5.3709816166247455
365,-6.630051851637566
366,-5.088072215770492
367,-9.334210330693923
368,-7.657164220266422
369,-8.055501515394914
370,-7.412672464474188
371,-6.168966735916988
372,-6.682167123274149
373,-5.297694174358553
374,-5.160920909192987
375,-5.38148596357048
376,-5.52292491294394
377,-4.492643984245833
378,-5.728596063767524
379,-5.8345006020891645
380,-7.463512304918935
381,-7.359945962410701
382,-5.859676704477143
383,-5.794416907290075
384,-5.438154002860692
385,-7.499195697473951
386,-5.950044200368028
387,-5.516850808567696
388,-6.939610058491481
389,-3.969665836663016
390,-4.197960549264088
391,-4.692120392215836
392,-6.132550056338141
393,-6.246895584317179
394,-10.851630637969825
395,-8.052884458203309
396,-6.473655202413402
397,-5.665780597839495
398,-12.350800690348244
399,-7.185047315964732
400,-6.397780009640795
401,-4.356147340024008
402,-5.508983315999237
403,-7.507283255901305
404,-8.162823185406177
405,-5.754384745177277
406,-4.766246028647675
407,-7.1692201492206165
408,-10.159934560202116
409,-5.176765472876544
410,-7.782074367372143
411,-6.037142372270524
412,-5.4546799214815245
413,-5.298432063212736
414,-5.093716004674462
415,-5.869493862706355
416,-7.48981665145323
417,-8.580628436683456
418,-6.6956752788401
419,-5.627527067523658
420,-6.19611139166078
421,-5.4010013699334944
422,-6.48500660869472
423,-9.951223383529069
424,-5.005417193136416
425,-6.404113353100142
426,-6.768653302410015
427,-6.685226913171646
428,-10.04502679850314
429,-6.176372280096304
430,-6.176300691771314
431,-6.666329839507718
432,-10.998912901605825
433,-6.3664501344240865
434,-6.4846493501516145
435,-6.442284485845711
436,-6.861096524222825
437,-5.198722355612565
438,-5.645011192392589
439,-6.093984007403425
440,-7.848276474535233
441,-11.308256255685244
442,-5.259180015936975
443,-4.684017556006952
444,-5.353903037727954
445,-8.961926996140768
446,-8.756910293919905
447,-8.969406274834512
448,-10.790611596424075
449,-6.1006444071988515
450,-5.627466007469706
451,-5.649941292171435
452,-5.995794244491717
453,-5.1289496959791565
454,-6.02161889844673
455,-6.710178551440756
456,-4.614194666387962
457,-4.956433828496493
458,-9.791453842465293
459,-5.277054544743214
460,-6.897840266456286
461,-5.247251144181507
462,-5.431076268503432
463,-5.6273116210069
464,-5.813420024388554
465,-6.416633960703174
466,-6.79138255261534
467,-5.071648330621028
468,-4.336581142685849
469,-6.259129461973425
470,-6.298058669837475
471,-7.675566226991165
472,-5.306891244175751
473,-7.068722010839916
474,-5.0682748276920195
475,-7.584593539859394
476,-5.08810489101983
477,-4.870649534345456
478,-5.534485526072429
479,-5.288352757354997
480,-6.213818098198462
481,-6.688683780019687
482,-8.496786527720685
483,-5.976647055446705
484,-5.534261145382855
485,-5.603179668443121
486,-6.030410544917116
487,-5.049567872065909
488,-9.305417530457666
489,-5.3343028240626875
490,-5.294813588221749
491,-5.444943515350583
492,-6.945159794171734
493,-5.45992281991256
494,-6.149485636495696
495,-4.8796118486564675
496,-6.363363797681547
497,-7.602403051451199
498,-7.81517783428376
499,-5.402317041726031
500,-6.1495911715260885
501,-6.4963915994665165
502,-6.828152062921648
503,-4.6084286039645
504,-5.420129882764763
505,-6.567681217957573
506,-4.802628476637565
507,-5.813821001920088
508,-6.645076325257435
509,-6.688942172018034
510,-6.000448855581144
511,-5.529467855735082
512,-5.83324091418689
513,-8.916006631829386
514,-8.639715263020227
515,-5.4510050505429
516,-8.26934446903281
517,-6.301556679986276
518,-8.769812274695937
519,-6.224817081654449
520,-6.433840907706792
521,-7.569185118214751
522,-5.638510190499071
523,-5.917288617778211
524,-9.213791960942924
525,-7.9630007632778925
526,-8.863667927959165
527,-6.061991620835724
528,-5.8135221318873915
529,-7.742910409937328
530,-11.405287987988807
531,-5.3716040762903745
532,-10.160229456872388
533,-5.127032648545867
534,-6.428191281624675
535,-5.405741043248942
536,-5.415303966210221
537,-6.75130750323949
538,-8.965400480060266
539,-5.097173506068641
540,-5.275172256647858
541,-6.2024596528677005
542,-5.6593386105646095
543,-7.918528272264623
544,-6.046605634773098
545,-5.34570210612202
546,-7.955136191230063
547,-5.74376560733129
548,-5.06564830250237
549,-8.06734109853923
550,-7.422152510789346
551,-6.338142394237954
552,-9.427988461833817
553,-9.015550335140977
554,-8.493850827128934
555,-6.831602481430347
556,-5.697849971860586
557,-6.666517688328039
558,-5.335144035084059
559,-5.985042911389974
560,-5.919639618347257
561,-5.557148291813416
562,-7.765724496428003
563,-7.198437175647439
564,-5.7588531085846935
565,-3.947098542184958
566,-6.153184096468495
567,-4.953847285806644
568,-5.853061368967637
569,-6.055799478946831
570,-4.841320503031141
571,-9.511517140443246
572,-6.340355689585552
573,-5.484836644502708
574,-7.863461320933057
575,-6.923775629904858
576,-7.162886819068767
577,-3.9350014757542784
578,-5.02242909784202
579,-5.926190417722522
580,-7.8547204514070055
581,-5.513140885740562
582,-7.361024948624377
583,-5.985171453906105
584,-6.406704531928655
585,-5.879523263182275
586,-5.731350846384374
587,-5.603669753683553
588,-8.783974421176595
589,-5.912487782313559
590,-8.367974434524504
591,-9.912001885991604
592,-6.95208480173512
593,-6.075523875759326
594,-5.835056427056624
595,-5.859092970685183
596,-5.499367488901464
597,-6.2432428067994055
598,-7.231592984391963
599,-7.802210268785384
600,-5.6858290201124095
601,-5.350034660351072
602,-4.988778593218613
603,-6.581581095528725
604,-4.343873792472848
605,-6.421390413729907
606,-5.818674645193363
607,-6.663369317106494
608,-8.00186130581904
609,-10.361652549560063
610,-5.579221508365765
611,-5.926704600789817
612,-4.968486663990017
613,-7.224749867326298
614,-5.255308225491735
615,-5.655981222799763
616,-5.441334114352044
617,-6.194952138950011
618,-5.233346202952073
619,-6.858943491553046
620,-4.8759360114680215
621,-5.313605561661429
622,-5.355786076706943
623,-5.421664492093215
624,-5.5443532214316775
625,-5.982966728403682
626,-6.700214614451554
627,-6.357709583862955
628,-5.842802585594931
629,-6.3616195884866205
630,-5.717825386760947
631,-5.177977368836283
632,-4.505035949994669
633,-5.937879199217475
634,-6.064468641297805
635,-4.064109246421777
636,-5.433569233671488
637,-5.8506585664698205
638,-5.057618862295359
639,-4.320373512044795
640,-5.26063701884256
641,-6.790421442474684
642,-5.665278968438261
643,-5.340999632728758
644,-5.89985879534204
645,-5.541602551881723
646,-6.463786925945809
647,-5.909634702263807
648,-5.306889386542899
649,-5.295801005437168
650,-5.700869387319646
651,-4.8522848116151565
652,-6.33530127520516
653,-5.286687018866901
654,-6.498222459370476
655,-5.348907812708024
656,-8.142400798098665
657,-7.375426827673121
658,-5.613419683449867
659,-4.853339379592506
660,-5.515698060944807
661,-5.422161743855928
662,-4.886344038476743
663,-5.523629029458228
664,-5.794439058178941
665,-5.148674868344269
666,-5.483788907151001
667,-4.679170755527183
668,-5.2947281253078895
669,-5.431038123103104
670,-4.703823261482016
671,-4.945574133849287
672,-5.647354783876371
673,-5.6478863374172406
674,-5.642630575065661
675,-5.132103365926915
676,-5.463085036237399
677,-5.46885098179571
678,-9.2974512674716
679,-5.352441890815418
680,-4.782517432283011
681,-5.6854332114055195
682,-7.079895118355411
683,-7.427377106748017
684,-5.239816024290622
685,-8.073883453851554
686,-7.768534025376903
687,-5.7978088954049
688,-7.053409905101771
689,-5.934489486447156
690,-5.873360984939761
691,-5.703494681696984
692,-5.619398231782163
693,-5.680514496211915
694,-5.3563228672382275
695,-5.798503292597194
696,-5.833650735240689
697,-6.647829386818879
698,-7.239547576945863
699,-6.714315472391125
700,-5.773490849491451
701,-4.5834911886926335
702,-6.586590448772271
703,-5.182528768602149
704,-5.6167529155057325
705,-6.188236558207456
706,-6.069644545602713
707,-5.87606633423904
708,-5.364859638143104
709,-4.733644327675994
710,-7.082921790662477
711,-5.1057093296826634
712,-4.539130116687942
713,-5.509728984884494
714,-5.188092316396492
715,-4.483027474208821
716,-5.472910059482942
717,-5.202828018481186
718,-4.370154068171631
719,-4.998325289736204
720,-5.116612516934153
721,-10.043556867043597
722,-5.707618801333028
723,-5.1072229739477
724,-7.397513643311135
725,-5.670437233638838
726,-5.457590242055792
727,-5.701969844141111
728,-4.112411301308712
729,-5.279189866598668
730,-4.8418024749305175
731,-5.045027969357854
732,-5.52288742673326
733,-4.799588954422145
734,-6.3329630112807
735,-5.754564635214146
736,-5.468603113540905
737,-4.919160776374645
738,-4.9981089329869
739,-5.816245043874018
740,-5.943892946185327
741,-6.155285473220681
742,-6.111239803651878
743,-4.950961765207819
744,-5.94793494356167
745,-5.155378237258812
746,-5.414565157457522
747,-5.404788311918202
748,-5.5649591151148785
749,-5.008197487705048
750,-5.784921041857294
751,-5.819081914050296
752,-5.013942513667973
753,-7.097408171930978
754,-5.762828814339842
755,-5.352497932161825
756,-6.404650775646881
757,-5.855851017898513
758,-5.581745850916989
759,-7.038044802395593
760,-5.600497936244583
761,-7.033703417288211
762,-4.630823234068708
763,-5.390018091434954
764,-7.928620265944974
765,-4.041958315432809
766,-6.426836419636109
767,-6.301746989607003
768,-5.350831490293867
769,-5.553033623038206
770,-4.98223629281632
771,-5.07421734263351
772,-5.15830859540175
773,-5.204369230298455
774,-7.591509788131448
775,-6.306000892478749
776,-7.155149590499437
777,-5.465657679532386
778,-6.765951820546881
779,-6.613429373831877
780,-5.249044530633292
781,-4.5390358978320196
782,-5.540994791829394
783,-5.476471103100659
784,-6.703055652108874
785,-5.336861901163838
786,-5.798463010998317
787,-5.22154308852039
788,-8.063110942253479
789,-5.233876749924924
790,-8.183972888463472
791,-6.603644550469293
792,-6.0642887583335945
793,-5.151332616808789
794,-6.158543930191231
795,-4.950969894344389
796,-5.845578680157131
797,-8.792376862897493
798,-5.367373808597916
799,-6.763260625317806
800,-8.590845583075907
801,-7.180253350433306
802,-5.372366703587537
803,-5.645105677522544
804,-6.278336773842837
805,-5.751188962658341
806,-5.994448797203363
807,-5.067602421210308
808,-5.506052775699199
809,-4.913664393613667
810,-9.001586426856388
811,-8.172021987568693
812,-5.575482882802079
813,-5.505331471369623
814,-8.287465045797765
815,-6.6444938127800555
816,-6.235240375403887
817,-7.198147195866137
818,-6.114657231047837
819,-6.445345615672887
820,-5.897656020303541
821,-5.395235876941943
822,-7.992295927191707
823,-5.91589845316329
824,-4.9369076986766895
825,-5.816061008261666
826,-5.221097669178867
827,-8.285872002032905
828,-5.821565545361948
829,-5.24705976111114
830,-5.49315498848254
831,-6.105826729965184
832,-5.38911443350187
833,-7.771011008274971
834,-4.596755590270271
835,-5.976131810157507
836,-5.647706534049075
837,-7.336400947325902
838,-5.788027758436323
839,-8.121463176855368
840,-5.477612080083164
841,-7.063553936778135
842,-5.34401700505907
843,-6.228668775838179
844,-5.4971279090501
845,-7.004449895358026
846,-4.926587406625143
847,-5.734299303873329
848,-5.050155514049584
849,-5.553198894049149
850,-5.181965686752663
851,-5.727677555196033
852,-5.7990333430192775
853,-6.492152140203683
854,-5.486099206214436
855,-5.354765884195787
856,-5.500931446282384
857,-6.363703793501202
858,-6.291033637918652
859,-7.923819288566123
860,-5.537473621417958
861,-4.848611991583599
862,-4.554686542954577
863,-5.4920201583382315
864,-5.399215996682007
865,-5.243667980778318
866,-6.13714829171063
867,-4.61933305984014
868,-4.893157440431552
869,-5.035426988210191
870,-7.3450372021377595
871,-5.231109517736805
872,-5.098081217893054
873,-7.440118590749491
874,-4.943486806925172
875,-5.573436002924678
876,-7.185394759139199
877,-5.133866200884293
878,-4.603416970360294
879,-5.54334598001185
880,-4.998364093775964
881,-4.440238410833031
882,-6.821603519592977
883,-6.720737652603803
884,-5.990438290415966
885,-5.417752327793274
886,-6.755392798371617
887,-5.341524295938373
888,-5.8717483215149375
889,-6.202747938487876
890,-5.076213162127795
891,-5.206632788672756
892,-6.632136305171367
893,-5.907530899610309
894,-5.572052663591135
895,-6.665982228325917
896,-6.761500165330004
897,-5.22717940134492
898,-8.116131925220262
899,-9.435937995658318
900,-5.719531394959512
901,-6.597471128894135
902,-6.1619592403340935
903,-7.2038440696093105
904,-5.104785423249309
905,-6.29512337507562
906,-5.908264132386501
907,-7.668263707754482
908,-7.155837231099762
909,-5.422361245286823
910,-5.046702992956076
911,-5.785275589794377
912,-6.9703481182198
913,-7.80484316289258
914,-8.857912422152133
915,-6.114244781215962
916,-5.605978445234746
917,-7.855609410869674
918,-6.438046782249983
919,-6.379489750437416
920,-9.374932431341954
921,-4.665140677151177
922,-4.964809143616655
923,-6.188235980071715
924,-9.977872984551516
925,-6.266616305686771
926,-5.716253013770517
927,-5.973108335469246
928,-8.397694406217378
929,-8.489815807390654
930,-4.921025237540128
931,-8.601241412806177
932,-6.676123817423146
933,-11.21938214704047
934,-7.1884995641052045
935,-5.204730191138797
936,-7.971700158146584
937,-5.839872554415914
938,-5.779946854762757
939,-5.113951124729509
940,-5.855783251483706
941,-6.0945208968833775
942,-6.52633685368477
943,-6.160766947926372
944,-4.850980896026406
945,-6.1261487900649945
946,-5.694696380716597
947,-5.715850308194479
948,-5.808951799420171
949,-5.862097549514598
950,-4.989945251132574
951,-5.063229160276968
952,-5.032919395799889
953,-5.82851038414935
954,-4.799134335738581
955,-5.550315973817558
956,-6.1273902377480285
957,-5.549541430373486
958,-4.883943578961313
959,-5.192070728688358
960,-5.140112529741231
961,-6.112641764865698
962,-5.8555681410676135
963,-5.284218872933287
964,-6.018357434903128
965,-7.721155421925308
966,-5.673109341417152
967,-5.531823672845723
968,-6.288158394956144
969,-5.553915751022891
970,-4.634345018115139
971,-5.72685115004575
972,-5.612105527741887
973,-5.813352147606172
974,-5.012042543080638
975,-8.376901876282082
976,-6.31017027598446
977,-5.537232710752964
978,-5.988357143161474
979,-5.566991232795099
980,-5.318763217052343
981,-5.353472684947275
982,-7.793720790554422
983,-5.091526386006156
984,-5.208187691462532
985,-5.132414533327016
986,-6.1266624050553995
987,-6.150220160751738
988,-5.299702110328364
989,-6.005251113038663
990,-4.715064430272523
991,-5.244665515705954
992,-5.05520822298824
993,-5.716829855170157
994,-5.059497686155729
995,-5.769134305990742
996,-10.948984848761986
997,-7.512957443458827
998,-6.315294611359636
999,-5.072634728545198
1000,-9.333574966199185
1001,-7.867162181789899
1002,-6.436337540200321
1003,-6.024896179236388
1004,-5.557551897643135
1005,-7.512363398315012
1006,-5.964338703869573
1007,-8.340250249944448
1008,-10.46208070472936
1009,-7.6198128760471615
1010,-5.606418046309332
1011,-5.290761705468576
1012,-5.214656949444567
1013,-6.247047100355
1014,-6.489054184170877
1015,-7.29144184336718
1016,-6.628408718314675
1017,-8.2218803482444
1018,-5.870602848203394
1019,-5.984679440234269
1020,-6.036694862692832
1021,-5.445241200782066
1022,-5.199935517654608
1023,-6.879668418391703
1024,-5.56055610250947
1025,-5.3481324496413025
1026,-7.510951345567643
1027,-5.138447308697942
1028,-5.475164625165342
1029,-4.968850396584408
1030,-6.705758299250477
1031,-4.800150624948731
1032,-6.767820621984184
1033,-5.047234104250966
1034,-5.3931346392498005
1035,-5.314674209490726
1036,-7.405010909320766
1037,-6.004675348517118
1038,-5.883199018192236
1039,-5.1006077037776105
1040,-5.444195309373711
1041,-5.5148698520269415
1042,-4.686690509436145
1043,-8.248566719803758
1044,-5.449329581120735
1045,-6.911959316897307
1046,-7.408347487369216
1047,-5.318028903589516
1048,-5.566064558586721
1049,-7.54769909403407
1050,-4.704976802680361
1051,-7.60237869321923
1052,-6.0279845798432214
1053,-5.51686002495884
1054,-5.973243034075529
1055,-4.565459974817176
1056,-5.120067580912552
1057,-5.692642560267752
1058,-5.019878543599842
1059,-5.227768811234462
1060,-5.866659988565109
1061,-7.02746569854047
1062,-6.221747570253329
1063,-7.145002054598226
1064,-4.864819598075011
1065,-5.551925902616638
1066,-4.81236913601486
1067,-6.018956851691435
1068,-4.507049848143047
1069,-4.764194398967218
1070,-6.03437766504006
1071,-5.284189164981609
1072,-8.508865019487475
1073,-5.955116953015275
1074,-4.87047568226307
1075,-5.91439392228042
1076,-6.214918273480903
1077,-5.897438873143414
1078,-7.442878429495912
1079,-5.140717747207103
1080,-10.291487005736883
1081,-5.478843747431638
1082,-6.064309792250986
1083,-5.170761607748158
1084,-8.733382622632487
1085,-5.155189146272576
1086,-5.0206938887804355
1087,-6.336425426360111
1088,-5.722329850793833
1089,-5.684968604268353
1090,-6.195646234798125
1091,-6.380523596147477
1092,-4.358554340080426
1093,-7.034515868958181
1094,-5.670458410481152
1095,-5.71800425971018
1096,-5.951524236874847
1097,-5.6881112715395945
1098,-5.540431191006537
1099,-6.135620230959222
1100,-5.853054165312523
1101,-5.523038350317947
1102,-8.521350641505695
1103,-5.3791123912601755
1104,-5.527573880940257
1105,-5.645981839013279
1106,-6.308262047181945
1107,-5.449745172116745
1108,-4.926565764006255
1109,-8.189385891070923
1110,-5.896218000374545
1111,-8.894627436724864
1112,-6.882829765777616
1113,-7.049609482597079
1114,-6.908096327902352
1115,-6.176592408261104
1116,-8.543012212903825
1117,-5.583706849720175
1118,-6.48749249626282
1119,-6.181800609420371
1120,-5.720421151210124
1121,-6.977025733119024
1122,-5.459243847897818
1123,-8.625261194740807
1124,-8.869791131493393
1125,-6.577036330971837
1126,-5.779245289208444
1127,-9.085883442813017
1128,-5.040461071589743
1129,-5.115094236076624
1130,-6.027758485251254
1131,-10.820552498924272
1132,-8.055775999313218
1133,-5.185309360995026
1134,-5.600331973004765
1135,-4.6939228464836456
1136,-5.268547865745772
1137,-7.182650673868368
1138,-5.058362800070924
1139,-8.979750130224685
1140,-6.357413190830226
1141,-6.4887798810893615
1142,-5.1215699311712894
1143,-7.78041165106914
1144,-5.867468541231011
1145,-7.702191702479461
1146,-6.067934552923376
1147,-6.392605144834396
1148,-5.649873073072514
1149,-5.833125090728836
1150,-7.141666667414123
1151,-6.4391158417010645
1152,-5.611437216802492
1153,-5.4917469009146735
1154,-4.640133415189823
1155,-5.582910826116012
1156,-6.204132763830411
1157,-6.780727340879239
1158,-6.905254287867455
1159,-6.83086959743843
1160,-6.190669426013537
1161,-9.492172831578511
1162,-7.3184065781197924
1163,-6.380007428097875
1164,-4.944811926612145
1165,-7.35062169382765
1166,-7.79291427763385
1167,-6.3014426010637825
1168,-7.673908906151963
1169,-4.900455945232405
1170,-5.781750809022323
1171,-4.397706034738037
1172,-6.804605816466067
1173,-5.868841539975525
1174,-6.797309370216303
1175,-7.018994121772771
1176,-5.897683458418689
1177,-7.226458613262271
1178,-5.551355400286585
1179,-3.9500237005906302
1180,-4.953140352335494
1181,-7.5748240195087755
1182,-6.803231924229093
1183,-8.439252433888168
1184,-5.166678193291188
1185,-7.018268823853023
1186,-5.545081429531749
1187,-6.3611855587810515
1188,-6.495829779887276
1189,-6.686232746159527
1190,-5.646264304111148
1191,-6.461371112316164
1192,-6.430704476274932
1193,-5.51704257491151
1194,-8.988971965875027
1195,-6.066332869237053
1196,-5.42298629692476
1197,-5.086454147690225
1198,-5.685760320907123
1199,-5.554181580944832
1200,-5.435076828583495
1201,-5.256999209095322
1202,-8.472164892323969
1203,-6.660834684704786
1204,-4.94567931018152
1205,-6.5255871835990265
1206,-3.824802438532917
1207,-5.3010068512417865
1208,-4.477712374365833
1209,-7.675270050681962
1210,-6.170658616056187
1211,-1.6190354262727686
1212,-5.635656897550339
1213,-12.245469058560898
1214,-5.773662229166873
1215,-5.326727695125532
1216,-6.385882688575705
1217,-5.90907778414271
1218,-7.362648592017139
1219,-8.367813623733559
1220,-8.711080686059168
1221,-7.427046620230079
1222,-6.616676754271151
1223,-5.5020434956525035
1224,-6.046619922436479
1225,-6.1383465340019105
1226,-7.257129867557695
1227,-10.76015046338947
1228,-5.81137875194477
1229,-9.25420544109034
1230,-6.76172902437417
1231,-5.943929513044236
1232,-4.76117513990217
1233,-7.3634557243182694
1234,-5.057237911446275
1235,-7.642704677284734
1236,-4.656163077147064
1237,-5.796721283291958
1238,-5.256614918481196
1239,-7.055244673808585
1240,-5.006588912748249
1241,-5.6409537877863025
